,pid,condition,timing,hand,part,VR,KR
0,Yu,continuous,pre,right,1,2,1
1,Yu,continuous,pre,right,2,2,1
2,Yu,continuous,pre,right,3,2,1
3,Yu,continuous,pre,right,4,2,1
4,Yu,continuous,pre,right,5,3,2
5,Yu,continuous,pre,left,3,3,1
6,Yu,continuous,pre,left,4,3,1
7,Yu,continuous,pre,left,5,2,1
0,Yu,continuous,post,right,1,1,1
1,Yu,continuous,post,right,2,1,1
2,Yu,continuous,post,right,3,2,1
3,Yu,continuous,post,right,4,2,2
4,Yu,continuous,post,right,5,1,1
5,Yu,continuous,post,left,3,1,1
6,Yu,continuous,post,left,4,2,1
7,Yu,continuous,post,left,5,2,1
