,pid,condition,timing,hand,part,VR,KR
0,P01,continuous,pre,right,1,3,3
1,P01,continuous,pre,right,2,3,3
2,P01,continuous,pre,right,3,3,3
3,P01,continuous,pre,right,4,3,3
4,P01,continuous,pre,right,5,3,3
5,P01,continuous,pre,left,3,3,3
6,P01,continuous,pre,left,4,3,3
7,P01,continuous,pre,left,5,3,3
0,P01,continuous,post,right,1,3,3
1,P01,continuous,post,right,2,3,3
2,P01,continuous,post,right,3,3,3
3,P01,continuous,post,right,4,3,3
4,P01,continuous,post,right,5,3,3
5,P01,continuous,post,left,3,3,3
6,P01,continuous,post,left,4,3,3
7,P01,continuous,post,left,5,3,3
