,pid,condition,timing,trial,hand,PTime
0,sha3,continuous,pre,0,right,0.054244713195657816
1,sha3,continuous,pre,0,left,0.494566943954851
2,sha3,continuous,pre,1,right,0.2489675188699039
3,sha3,continuous,pre,1,left,0.4159415909234667
4,sha3,continuous,pre,2,right,1.5610420734155923
5,sha3,continuous,pre,2,left,1.1825329998100642
0,sha3,continuous,post,0,right,0.851272853637056
1,sha3,continuous,post,0,left,0.2244239233332337
2,sha3,continuous,post,1,right,0.2329911777706002
3,sha3,continuous,post,1,left,0.4031338899512775
4,sha3,continuous,post,2,right,0.8573376843050937
5,sha3,continuous,post,2,left,0.19321970643068198
